lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
5.88,-10.05,300.15,69,75,5.1,LR,1594463584
29.96,122.3,298.24,93,99,7.45,CN,1594463584
51.15,41.23,298.94,44,0,4.35,RU,1594463585
66.15,-65.71,283.24,52,32,0.72,CA,1594463585
33.12,46.16,311.15,14,20,4.1,IR,1594463585
61.28,108.01,291.68,84,96,2.45,RU,1594463585
6.41,1.88,300.15,83,40,5.1,BJ,1594463586
18.74,7.39,312.84,17,0,3.75,NE,1594463586
34.88,-76.9,299.15,78,1,2.6,US,1594463497
67.63,134.63,296.53,38,83,1.95,RU,1594463586
68.75,161.3,283.2,85,13,5.38,RU,1594463586
-2.42,115.25,297.49,94,83,0.87,ID,1594463587
66.94,-53.67,280.75,73,100,0.24,GL,1594463587
-21.37,55.62,298.15,53,29,6.2,RE,1594463587
-10.62,150.67,298.54,89,100,5.91,PG,1594463587
26.59,101.71,299.82,56,100,0.29,CN,1594463587
51.03,-4.22,290.93,71,0,1.34,GB,1594463587
69.01,23.04,286.23,54,100,2.19,NO,1594463345
36.22,136.15,299.15,78,75,6.2,JP,1594463588
28.23,83.98,298.78,81,94,1.07,NP,1594463588
-34.65,-58.62,278.15,80,12,3.1,AR,1594463588
9.29,105.72,301.68,78,79,3.79,VN,1594463588
-25.24,130.99,284.15,32,0,3.1,AU,1594463588
-3.57,-80.44,293.6,83,100,1.87,PE,1594463589
13.64,4.03,306.5,36,98,3.65,NE,1594463589
66.83,70.83,292.56,48,22,4.53,RU,1594463589
72.79,-56.15,278.72,81,31,5.44,GL,1594463589
22.28,113.57,307.04,84,40,6.2,CN,1594463590
21.35,-158.09,299.15,73,40,2.1,US,1594463406
29.88,121.55,304.15,79,100,2.0,CN,1594463590
42.56,-114.46,290.15,62,1,4.1,US,1594463346
-25.11,29.04,291.78,27,0,12.22,ZA,1594463590
64.5,-165.41,286.15,62,1,4.1,US,1594463591
44.65,-63.57,291.48,84,82,2.71,CA,1594463368
77.48,-69.36,279.03,66,82,2.48,GL,1594463591
25.29,51.53,318.15,17,38,5.7,QA,1594463591
0.54,123.06,297.45,87,99,0.62,ID,1594463592
18.39,42.45,306.15,7,20,6.2,SA,1594463592
-34.62,-68.33,277.31,67,96,1.45,AR,1594463592
4.88,101.96,298.17,90,100,0.76,MY,1594463592
64.75,177.48,284.15,93,100,2.0,RU,1594463592
16.47,107.6,307.15,56,40,4.1,VN,1594463403
63.44,-20.27,283.15,100,90,4.1,IS,1594463593
23.2,-106.23,299.82,76,22,1.04,MX,1594463593
50.15,-95.88,285.13,95,9,2.06,CA,1594463593
11.14,123.72,302.76,68,29,0.79,PH,1594463593
20.79,-156.47,300.15,51,1,5.1,US,1594463376
53.96,105.88,300.15,48,85,0.86,RU,1594463594
8.12,-63.55,297.42,89,100,3.86,VE,1594463594
8.35,100.2,305.15,66,20,2.6,TH,1594463594
36.25,37.5,310.17,23,0,6.26,SY,1594463594
-34.48,-54.33,277.44,73,69,3.58,UY,1594463594
